Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet [CoHD]
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2017,YR2017,3.04
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2019,YR2019,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2020,YR2020,3.4
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2021,YR2021,3.55
Food Prices for Nutrition 3.0,FPN 3.0,Albania,ALB,2022,YR2022,4.19
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2017,YR2017,4.06
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2018,YR2018,4.13
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2019,YR2019,4.1
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2020,YR2020,4.06
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2021,YR2021,4.36
Food Prices for Nutrition 3.0,FPN 3.0,Algeria,DZA,2022,YR2022,4.89
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2017,YR2017,3.44
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2018,YR2018,3.42
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2019,YR2019,3.46
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2020,YR2020,3.65
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2021,YR2021,4
Food Prices for Nutrition 3.0,FPN 3.0,Angola,AGO,2022,YR2022,4.41
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2017,YR2017,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Anguilla,AIA,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2017,YR2017,3.93
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2018,YR2018,4.11
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2019,YR2019,4.2
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2020,YR2020,4.31
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2021,YR2021,4.48
Food Prices for Nutrition 3.0,FPN 3.0,Antigua and Barbuda,ATG,2022,YR2022,4.97
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2017,YR2017,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Argentina,ARG,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2017,YR2017,3.21
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2018,YR2018,3.28
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2019,YR2019,3.36
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2020,YR2020,3.37
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2021,YR2021,3.66
Food Prices for Nutrition 3.0,FPN 3.0,Armenia,ARM,2022,YR2022,4.11
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2017,YR2017,3.47
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2018,YR2018,3.68
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2019,YR2019,3.97
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2020,YR2020,4.09
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2021,YR2021,4.2
Food Prices for Nutrition 3.0,FPN 3.0,Aruba,ABW,2022,YR2022,4.71
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2017,YR2017,2.33
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2018,YR2018,2.36
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2019,YR2019,2.4
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2020,YR2020,2.51
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2021,YR2021,2.58
Food Prices for Nutrition 3.0,FPN 3.0,Australia,AUS,2022,YR2022,2.91
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2017,YR2017,2.06
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2018,YR2018,2.11
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2019,YR2019,2.19
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2020,YR2020,2.31
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2021,YR2021,2.43
Food Prices for Nutrition 3.0,FPN 3.0,Austria,AUT,2022,YR2022,2.76
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2017,YR2017,2.87
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2018,YR2018,2.93
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2019,YR2019,3
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2020,YR2020,3.09
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2021,YR2021,3.28
Food Prices for Nutrition 3.0,FPN 3.0,Azerbaijan,AZE,2022,YR2022,3.74
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2017,YR2017,4.28
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2018,YR2018,4.39
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2019,YR2019,4.36
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2020,YR2020,4.49
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2021,YR2021,4.66
Food Prices for Nutrition 3.0,FPN 3.0,"Bahamas, The",BHS,2022,YR2022,5.41
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2017,YR2017,3.07
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2018,YR2018,3.15
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2019,YR2019,3.25
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2020,YR2020,3.48
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2021,YR2021,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Bahrain,BHR,2022,YR2022,4.22
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2017,YR2017,3.03
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2019,YR2019,3.18
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2020,YR2020,3.23
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2021,YR2021,3.37
Food Prices for Nutrition 3.0,FPN 3.0,Bangladesh,BGD,2022,YR2022,3.64
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2017,YR2017,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Barbados,BRB,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2017,YR2017,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2018,YR2018,3.18
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2019,YR2019,3.26
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2020,YR2020,3.26
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2021,YR2021,3.42
Food Prices for Nutrition 3.0,FPN 3.0,Belarus,BLR,2022,YR2022,3.74
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2017,YR2017,2
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2018,YR2018,2.07
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2019,YR2019,2.16
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2020,YR2020,2.28
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2021,YR2021,2.32
Food Prices for Nutrition 3.0,FPN 3.0,Belgium,BEL,2022,YR2022,2.56
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2017,YR2017,2.5
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2018,YR2018,2.55
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2019,YR2019,2.6
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2020,YR2020,2.66
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2021,YR2021,2.83
Food Prices for Nutrition 3.0,FPN 3.0,Belize,BLZ,2022,YR2022,3.1
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2017,YR2017,2.84
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2018,YR2018,2.94
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2019,YR2019,2.93
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2020,YR2020,2.97
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2021,YR2021,3.23
Food Prices for Nutrition 3.0,FPN 3.0,Benin,BEN,2022,YR2022,3.42
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2017,YR2017,2.95
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2018,YR2018,2.74
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2019,YR2019,2.78
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2020,YR2020,2.69
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2021,YR2021,2.46
Food Prices for Nutrition 3.0,FPN 3.0,Bermuda,BMU,2022,YR2022,2.35
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2017,YR2017,4.07
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2018,YR2018,4.26
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2019,YR2019,4.38
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2020,YR2020,4.66
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2021,YR2021,4.96
Food Prices for Nutrition 3.0,FPN 3.0,Bhutan,BTN,2022,YR2022,5.28
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2017,YR2017,3.5
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2018,YR2018,3.6
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2019,YR2019,3.72
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2020,YR2020,3.71
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2021,YR2021,3.87
Food Prices for Nutrition 3.0,FPN 3.0,Bolivia,BOL,2022,YR2022,4.2
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2017,YR2017,..
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2018,YR2018,..
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2019,YR2019,..
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2020,YR2020,..
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2021,YR2021,..
Food Prices for Nutrition 3.0,FPN 3.0,Bonaire,BON,2022,YR2022,..
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2017,YR2017,4.07
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2018,YR2018,4.13
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2019,YR2019,4.34
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2020,YR2020,4.34
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2021,YR2021,4.58
Food Prices for Nutrition 3.0,FPN 3.0,Bosnia and Herzegovina,BIH,2022,YR2022,5.53
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2017,YR2017,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2018,YR2018,3.09
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2019,YR2019,3.1
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2020,YR2020,3.2
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2021,YR2021,3.31
Food Prices for Nutrition 3.0,FPN 3.0,Botswana,BWA,2022,YR2022,3.56
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2017,YR2017,3.22
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2018,YR2018,3.21
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2019,YR2019,3.3
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2020,YR2020,3.53
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2021,YR2021,3.84
Food Prices for Nutrition 3.0,FPN 3.0,Brazil,BRA,2022,YR2022,4.25
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2017,YR2017,3.54
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2018,YR2018,3.37
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2019,YR2019,3.59
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2020,YR2020,3.52
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2021,YR2021,3.74
Food Prices for Nutrition 3.0,FPN 3.0,British Virgin Islands,VGB,2022,YR2022,3.8
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2017,YR2017,3.98
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2018,YR2018,4.11
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2019,YR2019,4.17
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2020,YR2020,4.25
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2021,YR2021,4.48
Food Prices for Nutrition 3.0,FPN 3.0,Brunei Darussalam,BRN,2022,YR2022,4.9
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2017,YR2017,3.39
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2018,YR2018,3.47
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2019,YR2019,3.67
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2020,YR2020,3.8
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2021,YR2021,3.94
Food Prices for Nutrition 3.0,FPN 3.0,Bulgaria,BGR,2022,YR2022,4.74
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2017,YR2017,2.67
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2018,YR2018,2.78
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2019,YR2019,2.73
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2020,YR2020,2.82
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2021,YR2021,3.04
Food Prices for Nutrition 3.0,FPN 3.0,Burkina Faso,BFA,2022,YR2022,3.57
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2017,YR2017,3.34
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2019,YR2019,3.11
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2020,YR2020,3.29
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2021,YR2021,3.5
Food Prices for Nutrition 3.0,FPN 3.0,Burundi,BDI,2022,YR2022,3.97
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2017,YR2017,3.2
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2018,YR2018,3.26
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2019,YR2019,3.33
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2020,YR2020,3.4
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2021,YR2021,3.51
Food Prices for Nutrition 3.0,FPN 3.0,Cabo Verde,CPV,2022,YR2022,4.07
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2017,YR2017,3.72
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2018,YR2018,3.81
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2019,YR2019,3.88
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2020,YR2020,4
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2021,YR2021,4.18
Food Prices for Nutrition 3.0,FPN 3.0,Cambodia,KHM,2022,YR2022,4.5
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2017,YR2017,2.58
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2018,YR2018,2.65
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2019,YR2019,2.71
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2020,YR2020,2.77
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2021,YR2021,2.95
Food Prices for Nutrition 3.0,FPN 3.0,Cameroon,CMR,2022,YR2022,3.39
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2017,YR2017,3.08
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2018,YR2018,3.13
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2019,YR2019,3.19
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2020,YR2020,3.33
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2021,YR2021,3.48
Food Prices for Nutrition 3.0,FPN 3.0,Canada,CAN,2022,YR2022,3.89
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2017,YR2017,3.58
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2018,YR2018,3.52
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2019,YR2019,3.32
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2020,YR2020,3.56
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2021,YR2021,3.72
Food Prices for Nutrition 3.0,FPN 3.0,Cayman Islands,CYM,2022,YR2022,3.83
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2017,YR2017,2.96
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2018,YR2018,3.03
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2019,YR2019,3.08
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2020,YR2020,3.12
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2021,YR2021,3.27
Food Prices for Nutrition 3.0,FPN 3.0,Central African Republic,CAF,2022,YR2022,3.53
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2017,YR2017,2.75
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2018,YR2018,2.66
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2019,YR2019,2.59
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2020,YR2020,2.75
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2021,YR2021,2.86
Food Prices for Nutrition 3.0,FPN 3.0,Chad,TCD,2022,YR2022,3.27
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2017,YR2017,3.38
Food Prices for Nutrition 3.0,FPN 3.0,Chile,CHL,2018,YR2018,3.52
