Country,id_pays,,,,,,
Afghanistan,1,,,,,,
Albania,2,,,,,,
Algeria,3,,,,,,
American,Samoa,4,,,,,
Andorra,5,,,,,,
Angola,6,,,,,,
Anguilla,7,,,,,,
Antarctica,8,,,,,,
Antigua,and,Barbuda,9,,,,
Argentina,10,,,,,,
Armenia,11,,,,,,
Aruba,12,,,,,,
Australia,13,,,,,,
Austria,14,,,,,,
Azerbaijan,15,,,,,,
Bahamas,16,,,,,,
Bahrain,17,,,,,,
Bangladesh,18,,,,,,
Barbados,19,,,,,,
Belarus,20,,,,,,
Belgium,21,,,,,,
Belize,22,,,,,,
Benin,23,,,,,,
Bermuda,24,,,,,,
Bhutan,25,,,,,,
"Bolivia, Plurinational State of",26,,,,,,
Bosnia,and,Herzegovina,27,,,,
Botswana,28,,,,,,
Bouvet,Island,29,,,,,
Brazil,30,,,,,,
British,Indian,Ocean,Territory,31,,,
Bulgaria,32,,,,,,
Burkina,Faso,33,,,,,
Burundi,34,,,,,,
Cambodia,35,,,,,,
Cameroon,36,,,,,,
Canada,37,,,,,,
Cayman,Islands,38,,,,,
Central,African,Republic,39,,,,
Chad,40,,,,,,
Chile,41,,,,,,
China,42,,,,,,
Christmas,Island,43,,,,,
Colombia,44,,,,,,
Comoros,45,,,,,,
Congo,46,,,,,,
Cook,Islands,47,,,,,
Costa,Rica,48,,,,,
Croatia,49,,,,,,
Cuba,50,,,,,,
Curaçao,51,,,,,,
Cyprus,52,,,,,,
Czechia,53,,,,,,
Denmark,54,,,,,,
Djibouti,55,,,,,,
Dominica,56,,,,,,
Dominican,Republic,57,,,,,
Ecuador,58,,,,,,
Egypt,59,,,,,,
El,Salvador,60,,,,,
Equatorial,Guinea,61,,,,,
Eritrea,62,,,,,,
Estonia,63,,,,,,
Eswatini,64,,,,,,
Ethiopia,65,,,,,,
Faroe,Islands,66,,,,,
Fiji,67,,,,,,
Finland,68,,,,,,
France,69,,,,,,
French,Guiana,70,,,,,
French,Polynesia,71,,,,,
French,Southern,Territories,72,,,,
Gabon,73,,,,,,
Gambia,74,,,,,,
Georgia,75,,,,,,
Germany,76,,,,,,
Ghana,77,,,,,,
Gibraltar,78,,,,,,
Greece,79,,,,,,
Greenland,80,,,,,,
Grenada,81,,,,,,
Guadeloupe,82,,,,,,
Guam,83,,,,,,
Guatemala,84,,,,,,
Guernsey,85,,,,,,
Guinea,86,,,,,,
Guinea-Bissau,87,,,,,,
Guyana,88,,,,,,
Haiti,89,,,,,,
Heard,Island,and,McDonald,Islands,90,,
Honduras,91,,,,,,
Hong,Kong,92,,,,,
Hungary,93,,,,,,
Iceland,94,,,,,,
India,95,,,,,,
Indonesia,96,,,,,,
"Iran, Islamic Republic of",97,,,,,,
Iraq,98,,,,,,
Ireland,99,,,,,,
Isle,of,Man,100,,,,
Israel,101,,,,,,
Italy,102,,,,,,
Jamaica,103,,,,,,
Japan,104,,,,,,
Jersey,105,,,,,,
Jordan,106,,,,,,
Kazakhstan,107,,,,,,
Kenya,108,,,,,,
Kiribati,109,,,,,,
"Korea, Democratic People's Republic of",110,,,,,,
"Korea, Republic of",111,,,,,,
Kuwait,112,,,,,,
Kyrgyzstan,113,,,,,,
Lao,People's,Democratic,Republic,114,,,
Latvia,115,,,,,,
Lebanon,116,,,,,,
Lesotho,117,,,,,,
Liberia,118,,,,,,
Libya,119,,,,,,
Liechtenstein,120,,,,,,
Lithuania,121,,,,,,
Luxembourg,122,,,,,,
Macao,123,,,,,,
Madagascar,124,,,,,,
Malawi,125,,,,,,
Malaysia,126,,,,,,
Maldives,127,,,,,,
Mali,128,,,,,,
Malta,129,,,,,,
Marshall,Islands,130,,,,,
Martinique,131,,,,,,
Mauritania,132,,,,,,
Mauritius,133,,,,,,
Mayotte,134,,,,,,
Mexico,135,,,,,,
"Moldova, Republic of",136,,,,,,
Monaco,137,,,,,,
Mongolia,138,,,,,,
Montenegro,139,,,,,,
Montserrat,140,,,,,,
Morocco,141,,,,,,
Mozambique,142,,,,,,
Myanmar,143,,,,,,
Namibia,144,,,,,,
Nauru,145,,,,,,
Nepal,146,,,,,,
Netherlands,147,,,,,,
New,Caledonia,148,,,,,
New,Zealand,149,,,,,
Nicaragua,150,,,,,,
Niger,151,,,,,,
Nigeria,152,,,,,,
Niue,153,,,,,,
Norfolk,Island,154,,,,,
North,Macedonia,155,,,,,
Northern,Mariana,Islands,156,,,,
Norway,157,,,,,,
Oman,158,,,,,,
Pakistan,159,,,,,,
Palau,160,,,,,,
Panama,161,,,,,,
Papua,New,Guinea,162,,,,
Paraguay,163,,,,,,
Peru,164,,,,,,
Philippines,165,,,,,,
Pitcairn,166,,,,,,
Poland,167,,,,,,
Portugal,168,,,,,,
Puerto,Rico,169,,,,,
Qatar,170,,,,,,
Romania,171,,,,,,
Rwanda,172,,,,,,
Réunion,173,,,,,,
Saint,Kitts,and,Nevis,174,,,
Saint,Lucia,175,,,,,
Saint,Martin,(French,part),176,,,
Saint,Pierre,and,Miquelon,177,,,
Saint,Vincent,and,the,Grenadines,178,,
Samoa,179,,,,,,
San,Marino,180,,,,,
Sao,Tome,and,Principe,181,,,
Saudi,Arabia,182,,,,,
Senegal,183,,,,,,
Serbia,184,,,,,,
Seychelles,185,,,,,,
Sierra,Leone,186,,,,,
Singapore,187,,,,,,
Sint,Maarten,(Dutch,part),188,,,
Slovakia,189,,,,,,
Slovenia,190,,,,,,
Solomon,Islands,191,,,,,
Somalia,192,,,,,,
South,Africa,193,,,,,
South,Georgia,and,the,South,Sandwich,Islands,194
South,Sudan,195,,,,,
Spain,196,,,,,,
Sri,Lanka,197,,,,,
Sudan,198,,,,,,
Suriname,199,,,,,,
Svalbard,and,Jan,Mayen,200,,,
Sweden,201,,,,,,
Switzerland,202,,,,,,
Syrian,Arab,Republic,203,,,,
"Taiwan, Province of China",204,,,,,,
Tajikistan,205,,,,,,
"Tanzania, United Republic of",206,,,,,,
Thailand,207,,,,,,
Togo,208,,,,,,
Tokelau,209,,,,,,
Tonga,210,,,,,,
Trinidad,and,Tobago,211,,,,
Tunisia,212,,,,,,
Turkmenistan,213,,,,,,
Turks,and,Caicos,Islands,214,,,
Tuvalu,215,,,,,,
Uganda,216,,,,,,
Ukraine,217,,,,,,
United,Arab,Emirates,218,,,,
United,Kingdom,219,,,,,
United,States,220,,,,,
United,States,Minor,Outlying,Islands,221,,
Uruguay,222,,,,,,
Uzbekistan,223,,,,,,
Vanuatu,224,,,,,,
"Venezuela, Bolivarian Republic of",225,,,,,,
Viet,Nam,226,,,,,
"Virgin Islands, British",227,,,,,,
Wallis,and,Futuna,228,,,,
Western,Sahara,229,,,,,
Yemen,230,,,,,,
Zambia,231,,,,,,
Zimbabwe,232,,,,,,
Aland,Islands,233,,,,,
Bonaire,Sint,Eustatius,and,Saba,234,,
Cape,Verde,235,,,,,
Cocos,Islands,236,,,,,
Cote,d'Ivoire,237,,,,,
Palestine,238,,,,,,
Russia,239,,,,,,
Saint,Helena,240,,,,,
Turkey,241,,,,,,
Vatican,242,,,,,,
